symbol,price,volume_24h,volume_change_24h,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,market_cap,market_cap_dominance,fully_diluted_market_cap,tvl,last_updated
GNO,99.41011502749136,9763673.71971749,-25.5664,-0.03299707,-1.38360183,1.55012812,-1.31711693,-10.44358954,-13.67181694,257431240.9538113,0.0238,298230345.08,,2023-10-03T22:49:00.000Z
ASTR,0.047198893856765275,6202745.03751291,-28.3821,-0.51354517,-2.37978722,-2.2606872,-14.67632067,-6.65935316,7.14326696,249882724.63842866,0.0231,373592592.58,,2023-10-03T22:49:00.000Z
GUSD,0.9974989774953321,417079.9391205,-59.4731,0.04919553,-0.0967707,-0.28234456,0.14633614,0.79851192,0.44132765,249763101.46869045,0.0231,249763101.47,,2023-10-03T22:49:00.000Z
SFP,0.5798835023374367,4850947.8785251,14.3584,-0.73747693,0.33555476,3.54230393,1.24122535,40.8235124,27.25144952,244034307.04037678,0.0226,289941751.17,,2023-10-03T22:49:00.000Z
BTG,13.581928625930903,67604895.58165976,68.346,-0.3383895,0.023559,9.42577557,6.80648877,-16.45532204,-5.58947644,237872860.14580563,0.022,285220501.14,,2023-10-03T22:49:00.000Z
LRC,0.17848631278632038,7474164.8017707,-32.8211,0.15178581,-2.71465953,4.22791732,-0.20906754,-15.16776306,-23.50713559,237681081.14290926,0.022,245331917.17,83338358.39466,2023-10-03T22:49:00.000Z
XEM,0.026045497368015307,3629773.07911469,-87.3804,-0.0393905,-1.86193375,3.7254657,7.3028081,-12.2555892,-9.80274429,234409476.28609225,0.0217,234409476.29,,2023-10-03T22:49:00.000Z
QTUM,2.2310496924526966,41846109.99130207,1.2143,0.11926984,-2.36917187,5.00816654,6.19451548,-12.46120307,-16.59651619,233715489.07672328,0.0216,240557145.75,,2023-10-03T22:49:00.000Z
CVX,2.8718692273632205,6348315.84523077,6.6493,0.12195465,-3.44613461,-3.97267117,8.9515359,-7.6903195,-29.74113877,232483751.06239274,0.0215,287186922.74,3323604703.28227,2023-10-03T22:49:00.000Z
ENS,7.71949360467454,12442841.07454229,-21.785,-0.13790237,-1.07677854,5.1261832,5.6533989,-11.34132104,-12.02015789,229465692.61652505,0.0213,771949360.47,,2023-10-03T22:49:00.000Z
CELO,0.4400455593037886,9396380.06013773,-24.3494,-0.44120308,-1.78374128,-1.63468657,5.11866825,-9.70892809,-14.96110222,226664883.20981172,0.021,440045559.3,,2023-10-03T22:49:00.000Z
ELF,0.3437146074708223,5082741.76455282,-30.1137,-0.07786903,-3.25205855,-5.07488086,11.43848081,21.83898146,25.17767328,224465900.92409492,0.0208,343714607.47,,2023-10-03T22:49:00.000Z
MX,2.212501661263853,1279613.76223265,-26.9433,-0.27838216,0.80638618,3.82708002,-14.24569116,-19.48650952,-15.08389469,222820675.03060687,0.0206,2212501661.26,,2023-10-03T22:49:00.000Z
ENJ,0.22269680812448148,14545309.77984608,7.3951,-0.3564105,0.02490848,1.32776602,-3.5837634,-22.62742517,-28.22055878,222696808.12448147,0.0206,222696808.12,,2023-10-03T22:49:00.000Z
AGIX,0.17886170745197832,17967215.1037497,-27.1838,-0.68199874,-4.01194937,2.37704356,-4.76082071,-11.7058744,-24.92601993,221027865.15849242,0.0205,357723414.9,,2023-10-03T22:49:00.000Z
MASK,2.689973737192521,95810915.86324923,3.7768,-0.34093115,-4.66954159,4.69232133,6.60940591,-21.75008308,-21.07942904,220880468.49522087,0.0204,268997373.72,,2023-10-03T22:49:00.000Z
TFUEL,0.033539154735750025,2446153.70343308,-25.0791,-0.09270538,-0.73293462,1.78829587,6.516541,-20.03215802,-10.8248302,211297677.58887345,0.0196,211297677.59,,2023-10-03T22:49:00.000Z
SEI,0.11634253304592186,21481392.32752007,-51.5266,0.03907441,-2.66923409,-0.53940112,-8.49089233,1356.27649819,1356.27649819,209416559.48265934,0.0194,1163425330.46,,2023-10-03T22:49:00.000Z
JST,0.02345256857305047,36453806.23719683,-8.7985,1.93089077,0.10777186,5.48445913,15.50069138,-0.850415,4.53070963,208776641.64278114,0.0193,232180428.87,,2023-10-03T22:49:00.000Z
XCH,23.910902848501642,27357835.08607543,71.5361,-0.90838617,-7.15986968,-11.23693571,-17.25774835,-21.59810781,-27.90770458,206567150.50070822,0.0191,708696110.32,,2023-10-03T22:49:00.000Z
WLD,1.5522445944685872,71151132.06733288,-28.5257,-0.74634172,-5.35334157,-7.38755075,37.77741581,-28.60600048,-6.76620287,205051315.10749754,0.019,15522445944.69,,2023-10-03T22:49:00.000Z
